公司代碼	簡稱	TSE 產業別	年月	轉投資名稱	地區	期末累計匯出金額(NTD)
1101	台泥         	1	200112	Anhui King Bridge   	0	0
1101	台泥         	1	200112	1	      	0
1101	台泥         	1	200212	Anhui King Bridge   	0	312300
1101	台泥         	1	200212	1	      	390375
1101	台泥         	1	200212	福州台泥水泥        	0	52050
1101	台泥         	1	200212	福州台泥陽嶼碼頭    	0	26025
1101	台泥         	1	200312	Anhui King Bridge   	0	305802
1101	台泥         	1	200312	1	      	711840
1101	台泥         	1	200312	台泥(英德)水泥      	2	118923
1101	台泥         	1	200312	柳州台泥新型        	2	40774
1101	台泥         	1	200312	福州台泥水泥        	0	169890
1101	台泥         	1	200312	福州台泥陽嶼碼頭    	0	76451
1101	台泥         	1	200412	Anhui King Bridge   	0	287253
1101	台泥         	1	200412	1	      	1925680
1101	台泥         	1	200412	台泥(英德)水泥      	2	306404
1101	台泥         	1	200412	柳州台泥新型        	2	153201
1101	台泥         	1	200412	英信(英德)水泥      	2	63834
1101	台泥         	1	200412	徐州海螺水泥        	0	636233
1101	台泥         	1	200412	福州台泥水泥        	0	319170
1101	台泥         	1	200412	福州台泥陽嶼碼頭    	0	159585
1101	台泥         	1	200512	Anhui King Bridge   	0	295650
1101	台泥         	1	200512	1	      	4907265
1101	台泥         	1	200512	台泥(英德)水泥      	2	3133890
1101	台泥         	1	200512	柳州台泥新型        	2	157680
1101	台泥         	1	200512	英信(英德)水泥      	2	65700
1101	台泥         	1	200512	徐州海螺水泥        	0	654832
1101	台泥         	1	200512	福州台泥水泥        	0	435263
1101	台泥         	1	200512	福州台泥陽嶼碼頭    	0	164250
1101	台泥         	1	200612	Anhui King Bridge   	0	293355
1101	台泥         	1	200612	1	      	7193196
1101	台泥         	1	200612	台泥(英德)水泥      	2	3794058
1101	台泥         	1	200612	台泥(貴港)水泥      	2	1466775
1101	台泥         	1	200612	柳州台泥新型        	2	264020
1101	台泥         	1	200612	英信(英德)水泥      	2	65190
1101	台泥         	1	200612	徐州海螺水泥        	0	649749
1101	台泥         	1	200612	福州台泥水泥        	0	497074
1101	台泥         	1	200612	福州台泥陽嶼碼頭    	0	162975
1101	台泥         	1	200712	Anhui King Bridge   	0	127839
1101	台泥         	1	200712	1	      	9744730
1101	台泥         	1	200712	台泥(英德)水泥      	2	2370698
1101	台泥         	1	200712	台泥(貴港)水泥      	2	4378050
1101	台泥         	1	200712	句容台泥水泥        	0	2457351
1101	台泥         	1	200712	柳州台泥新型        	2	80524
1101	台泥         	1	200712	英信(英德)水泥      	2	28409
1101	台泥         	1	200712	福州台泥水泥        	0	230837
1101	台泥         	1	200712	福州台泥陽嶼碼頭    	0	71022
1101	台泥         	1	200812	Anhui King Bridge   	0	127920
1101	台泥         	1	200812	1	      	12119338
1101	台泥         	1	200812	台泥(英德)水泥      	2	2589101
1101	台泥         	1	200812	台泥(貴港)水泥      	2	6490333
1101	台泥         	1	200812	句容台泥水泥        	0	2496736
1101	台泥         	1	200812	柳州台泥新型        	2	79704
1101	台泥         	1	200812	英信(英德)水泥      	2	28864
1101	台泥         	1	200812	福州台泥水泥        	0	234520
1101	台泥         	1	200812	福州台泥陽嶼碼頭    	0	72160
1101	台泥         	1	200912	Anhui King Bridge   	0	124761
1101	台泥         	1	200912	1	      	9401267
1101	台泥         	1	200912	台泥(英德)水泥      	2	2806675
1101	台泥         	1	200912	台泥(貴港)水泥      	2	2785222
1101	台泥         	1	200912	句容台泥水泥        	0	2857347
